M, Cohen, Fr?d?ric, M7, 10931
M, Taupin, Jean-Luc, ELITE_1, 23320
M, Pierron, Jean-Michel, M7, 23455
M, Duvivier, Fabrice, M2, 23615
M, Legrand, Charles, M2, 23770
M, Mathis, Jo?l, M9, 23904
M, Mille, Maurice, M7, 23987
M, Durant, Maurice, M9, 24150
M, Giry, Bruno, M4, 24251
M, Allart, Adrien, M6, 24420
M, Perez, Alain, ELITE_2, 24537
M, Bonnot, Yves, M7, 24636
M, Marot, Maxime, ELITE_1, 24706
M, Leblanc, Francis, M2, 24854
M, Blais, Jo?l, M4, 25013
M, Henaff, Claude, ELITE_1, 25165
M, Baudin, Fran?ois, M2, 25253
M, Berry, Yves, M2, 25319
M, Lescure, Raymond, M6, 25458
M, Le, Jonathan, M1, 25564
M, Pinson, Richard, M7, 25661
M, Poirier, Florian, M3, 25807
M, Chartier, S?bastien, ELITE_2, 25981
M, Barbet, Olivier, M1, 26100
M, Perret, Guy, ELITE_2, 26164
M, Delplanque, Fran?ois, M8, 26295
M, Bourcier, Michel, ELITE_1, 26468
M, Ruiz, Ren?, M8, 26561
M, Busson, Robert, ELITE_1, 26648
M, Sellier, Jean-Paul, M3, 26777
M, Gressier, Richard, ELITE_2, 26939
M, Kohler, Albert, M9, 27001
M, Fontaine, Xavier, M3, 27170
M, Laborde, Thomas, M7, 27246
M, Parisot, Emile, M8, 27326
M, Michelet, Philippe, M1, 27426
M, Hery, Dominique, M2, 27516
M, Delcroix, Bruno, M7, 27637
M, Goetz, Sylvain, M5, 27737
M, Harel, Antoine, M1, 27893
M, Fontaine, Jean-Fran?ois, M4, 27977
M, Gayet, Roger, M6, 28085
M, Marie, J?r?me, M6, 28203
M, Faivre, G?rard, M6, 28348
M, Camus, Florian, M1, 28496
M, Decroix, Nicolas, M1, 28591
M, Denys, Olivier, M7, 28693
M, Molinier, Damien, M3, 28776
M, Raymond, Cyril, M2, 28839
M, Bordas, Jo?l, M4, 28930
M, Maury, Denis, M1, 29094
M, Quere, Jean-Luc, M9, 29180
M, Bergeret, Jean-Claude, M2, 29264
M, Olive, Albert, M6, 29437
M, Duez, J?r?my, M9, 29525
M, Santos, Fabrice, M1, 29607
M, Burel, Guillaume, M3, 29739
M, Jaffre, Ren?, M4, 29870
M, Couret, Daniel, M7, 29959
M, Letellier, Micka?l, ELITE_2, 30109
M, Joly, Vincent, M4, 30230
M, Lefrancois, Robert, M2, 30310
M, Gonzalez, Raymond, M2, 30443
M, Salmon, Marc, M4, 30520
M, Guy, Herv?, M6, 30609
M, Pastor, Claude, M4, 30766
M, Philibert, J?r?me, M2, 30904
M, Cros, Richard, M7, 31074
M, Lebreton, Emmanuel, M6, 31192
M, Saillard, Didier, M6, 31311
M, Lucas, Michel, M2, 31483
M, Tran, Roland, M5, 31584
M, Ducrot, Damien, M1, 31646
M, Rossignol, Jean, M5, 31806
M, Marais, Alexis, M7, 31921
M, Vaillant, Claude, M3, 31999
M, Cornu, Serge, M4, 32091
M, Vilain, Jacques, M3, 32194
M, Sergent, Julien, M3, 32298
M, Canu, Georges, M1, 32471
M, Compagnon, Beno?t, ELITE_1, 32646
M, Delacour, Jean-Pierre, M2, 32760
M, Gabriel, Xavier, M4, 32828
M, Rabier, G?rard, M9, 32939
M, Delacour, Guillaume, M4, 33033
M, Hardouin, Jean-Fran?ois, M9, 33139
M, Delhaye, Emile, M1, 33257
M, Schwartz, Jean-Luc, ELITE_1, 33417
M, Savin, Roland, M6, 33531
M, Courtin, Herv?, ELITE_1, 33634
M, Chevrier, Louis, M5, 33707
M, Grand, Jean, M2, 33769
M, Garreau, Kevin, ELITE_1, 33936
M, Bo, St?phane, M3, 34007
M, Granger, Romain, M9, 34153
M, Deprez, Jean-Michel, M4, 34285
M, Herman, Adrien, M9, 34391
M, Veron, Ren?, ELITE_1, 34500
M, Pouliquen, Jacques, M3, 34634
M, Roman, Fabien, M7, 34748
M, Piat, Lionel, ELITE_1, 34857
M, Bachelet, Emmanuel, M9, 34998
M, Dulac, Thierry, M9, 35168
M, Daval, Albert, M1, 35312
M, Brachet, Henri, ELITE_1, 35427
M, Fraisse, Bruno, M2, 35563
M, Gallen, Jean, M4, 35727
M, Laude, Marcel, M4, 35802
M, Cabaret, Fabien, M2, 35896
M, Gueguen, Albert, M3, 36044
M, Baumann, Mathieu, M8, 36222
M, Rabier, Franck, M1, 36356
M, Boidin, Lucien, ELITE_2, 36523
M, Ravel, Albert, M5, 36678
M, Laurent, Thierry, M9, 36845
M, Mille, Romain, M3, 36972
M, Clerc, Adrien, M1, 37121
M, Jacquot, Benjamin, M1, 37190
M, Delamare, Jo?l, ELITE_2, 37330
M, Gerard, Guillaume, M9, 37442
M, Boudet, Christian, M8, 37590
M, Gourdon, Jean-Paul, M1, 37736
M, Fromont, J?r?my, M4, 37864
M, Rivet, Richard, M4, 38017
M, Grall, Adrien, ELITE_2, 38152
M, Jeannot, S?bastien, M3, 38255
M, Poli, Alexandre, M7, 38395
M, Walter, Jean-Marie, ELITE_2, 38481
M, Faivre, Patrick, M2, 38553
M, Pain, Herv?, ELITE_1, 38663
M, Dulac, Emile, M1, 38726
M, Marques, Marc, M5, 38806
M, Schmitt, Jacques, M1, 38916
M, Lesage, Adrien, ELITE_1, 39052
M, Lesueur, Xavier, M5, 39149
M, Dieu, Maurice, M7, 39216
M, Rose, Jo?l, M4, 39303
M, Dieu, Vincent, M5, 39398
M, Bertaux, Francis, M4, 39577
M, Cabot, Fabrice, M1, 39749
M, Fonteneau, Raymond, M2, 39912
M, Guillet, Guillaume, M4, 40004
M, Lahaye, G?rard, M9, 40173
M, Cote, Emmanuel, M7, 40277
M, Jestin, Franck, M9, 40362
M, Durand, Franck, M8, 40481
M, Lucas, Jean-Pierre, ELITE_2, 40563
M, Bauduin, Maurice, ELITE_1, 40741
M, Leclere, Daniel, M3, 40870
M, Gaucher, St?phane, ELITE_2, 41014
M, Navarro, Anthony, ELITE_1, 41182
M, Gravier, Jean-Marc, M4, 41271
M, Robillard, Xavier, M2, 41363
M, Rosset, Andr?, M4, 41428
M, James, Alexandre, M8, 41551
M, Lozano, Dominique, M9, 41673
M, Verhaeghe, Sylvain, M9, 41848
M, Rousselle, Franck, M6, 42015
M, Moi, Thierry, M1, 42189
M, Thibault, Thomas, M7, 42335
M, Ricci, Christian, ELITE_1, 42444
M, Salvador, Franck, M3, 42574
M, Babin, Lucien, M4, 42739
M, Comte, Claude, ELITE_2, 42827
M, Jullien, Mathieu, ELITE_2, 42998
M, Marchand, Emile, M5, 43076
M, Chatelet, Guillaume, M7, 43153
M, Demaret, Paul, M8, 43229
M, Le, Xavier, M9, 43305
M, Pires, Fabien, M4, 43385
M, Rizzo, Jean-Claude, M8, 43466
M, Bruneau, S?bastien, ELITE_1, 43627
M, Seguin, Eric, M9, 43783
M, Roussel, Julien, M9, 43944
M, Boutet, Andr?, ELITE_2, 44113
M, Claude, Julien, M9, 44271
M, Ripoll, J?r?me, M7, 44408
M, Gontier, Gilles, M5, 44476
M, Couture, Georges, M6, 44542
M, Anquetil, Kevin, M2, 44707
M, Marais, Franck, ELITE_2, 44814
M, Thibaud, Marcel, M4, 44993
M, Lemaire, C?dric, M6, 45135
M, Masse, Michel, M5, 45227
M, Charvet, Marc, ELITE_2, 45294
M, Devos, Florian, M7, 45373
M, Sutter, Henri, M1, 45521
M, Pouget, Jean-Michel, M9, 45665
M, Roth, Guy, M1, 45844
M, Trouve, Henri, M7, 45948
M, Braun, Marc, M8, 46011
M, Saunier, David, M4, 46160
M, Habert, Arnaud, M3, 46225
M, Barriere, Marc, ELITE_2, 46326
M, Le, Ludovic, M9, 46396
M, Doucet, Claude, M5, 46513
M, Nourry, Alexandre, M3, 46632
M, Prudhomme, Henri, M5, 46726
M, Villeneuve, Jean-Fran?ois, M7, 46851
M, Salomon, Patrice, ELITE_2, 46989
M, Lefebvre, Gr?gory, M7, 47055
M, Fosse, Dominique, M9, 47194
M, Vigouroux, Guy, M4, 47279
M, Boisson, Anthony, M3, 47447
M, Marx, Kevin, M2, 47562
M, Cousin, Mathieu, M6, 47638
M, Saby, Micka?l, M9, 47699
M, Jezequel, Henri, M5, 47804
M, Renaud, Daniel, M3, 47910
M, Boivin, Serge, M9, 47972
M, Pacaud, Francis, M9, 48061
M, Laval, Ren?, M3, 48153
M, Chereau, Marc, M8, 48281
M, Seguin, Alexis, ELITE_2, 48381
M, Barth, Jean-Fran?ois, M4, 48541
M, Gauthier, Jean-Michel, ELITE_2, 48672
M, Malet, Pierre, M4, 48762
M, Eyraud, Henri, M1, 48891
M, Chollet, Daniel, ELITE_2, 49047
M, Gachet, Beno?t, M3, 49218
M, Jestin, Charles, M4, 49330
M, Mora, Guy, M1, 49495
M, Bossard, Antoine, M2, 49582
M, Decroix, Anthony, M1, 49669
M, Rieu, Maurice, M3, 49752
M, Mignon, Benjamin, M5, 49886
M, Perraud, Joseph, M5, 50043
M, Dassonville, Denis, ELITE_1, 50157
M, Huet, Eric, ELITE_2, 50313
M, Thouvenin, Fr?d?ric, M7, 50402
M, Gaborit, Ren?, M2, 50521
M, Gobert, Denis, M1, 50608
M, Benhamou, Micka?l, M5, 50696
M, Bouton, Andr?, M4, 50760
M, Touati, Joseph, M9, 50849
M, Marti, Ludovic, M9, 51002
M, Langevin, Jean-Marie, M1, 51146
M, Benoist, Jean-Fran?ois, M1, 51282
M, Ortiz, Thierry, M8, 51424
M, Lapeyre, Gr?gory, M7, 51510
M, Momo, Guillaume, M2, 51640
M, Houssin, Xavier, M8, 51716
M, Sueur, Arnaud, M2, 51860
M, Allais, C?dric, ELITE_1, 51972
M, Galy, Alain, M8, 52090
M, Munoz, Jean-Luc, M1, 52268
M, Boutry, Damien, M9, 52359
M, Duc, Richard, M6, 52444
M, Berthet, Emile, ELITE_2, 52515
M, Cochard, Jean-Pierre, M6, 52681
M, Perrault, Fabrice, ELITE_1, 52763
M, Autret, J?r?my, M1, 52919
M, Auge, C?dric, M6, 53075
M, Chauvet, Gilbert, M9, 53154
M, Bo, Cl?ment, ELITE_2, 53281
M, Bardon, Guy, M8, 53451
M, Galland, J?r?me, ELITE_1, 53628
M, Favreau, Andr?, M5, 53697
M, Baudoin, David, M2, 53856
M, Crespin, Fr?d?ric, M9, 53941
M, Paoli, Maxime, M9, 54009
M, Fevrier, Bruno, M1, 54156
M, Cotte, Florian, ELITE_1, 54217
M, Froger, Olivier, M6, 54341
M, Pradel, Dominique, M1, 54447
M, Chapron, Yves, M3, 54540
M, Blanchet, Thierry, M4, 54606
M, Pinel, Joseph, M2, 54738
M, Gallen, Eric, M7, 54892
M, Peres, Anthony, M1, 55016
M, Labrousse, Bernard, ELITE_1, 55120
M, Langlais, Gr?gory, M8, 55262
M, Grimaud, Cyril, M6, 55359
M, Pierron, Jean, M1, 55500
M, Vinet, Jacques, M8, 55643
M, Nicol, Fabrice, ELITE_1, 55738
M, Le, Beno?t, M9, 55912
M, Pinon, Lo?c, M2, 56044
M, Duriez, Jo?l, M9, 56152
M, Jacquemin, Jean, ELITE_1, 56318
M, Dassonville, Henri, M2, 56440
M, Juan, Arnaud, M2, 56520
M, Godart, Marcel, ELITE_1, 56667
M, Vallon, Andr?, M4, 56808
M, Mestre, Jean, ELITE_1, 56969
M, Vasseur, Adrien, M5, 57124
M, Chereau, Raymond, ELITE_2, 57225
M, Bastien, Guillaume, M4, 57353
M, Vernet, Denis, M5, 57470
M, Guillet, Arnaud, M7, 57614
M, Ruelle, Didier, M3, 57714
M, Carpentier, Jean-Paul, M8, 57830
M, Arnault, Micka?l, M8, 57997
M, Le, Jean-Michel, M9, 58087
M, Bouteille, Jean, ELITE_2, 58258
M, Pignon, Mathieu, M1, 58373
M, Caro, Anthony, M5, 58551
M, Daval, Jean-Luc, ELITE_2, 58706
M, Noury, Fr?d?ric, ELITE_2, 58853
M, Blandin, David, M2, 59001
M, Chauveau, St?phane, M7, 59105
M, Wolff, Gilbert, M4, 59197
M, Gautheron, Christian, M7, 59257
M, George, Jean-Luc, M5, 59352
M, Hebert, Dominique, M5, 59520
M, Prigent, J?r?me, M9, 59634
M, Allain, C?dric, ELITE_1, 59729
M, Leclercq, Lionel, M6, 59861
M, Le, Lucien, M2, 60033
M, Carrere, Jean-Claude, M3, 60189
M, Comte, Emile, ELITE_1, 60330
M, Wiart, Lionel, M3, 60501
M, Barre, Thomas, M1, 60599
M, Thouvenin, Damien, ELITE_1, 60663
M, Pernot, Jean-Pierre, M4, 60752
M, Saby, Cl?ment, M2, 60868
M, Bernard, Cyril, M3, 61034
M, Guiot, Lionel, ELITE_1, 61160
M, Dejardin, Jean-Pierre, M6, 61285
M, Pichot, Gilbert, ELITE_1, 61350
M, Rousseau, J?r?my, ELITE_1, 61435
M, Gonnet, Eric, M7, 61504
M, Ortiz, Benjamin, M8, 61670
M, Clavier, Nicolas, M9, 61769
M, George, Serge, M5, 61842
M, Berard, Raymond, M5, 61959
M, James, Pierre, M1, 62119
M, Coudert, Paul, M5, 62267
M, Le, Sylvain, M1, 62425
M, Potel, Roland, M1, 62552
M, Favre, Xavier, M2, 62716
M, Durieux, Jean-Pierre, M8, 62799
M, Kohler, Alexandre, M4, 62964
M, Brasseur, Alexandre, M7, 63131
M, Beaugrand, Jonathan, M2, 63299
M, Duval, Benjamin, M4, 63454
M, Gallo, Daniel, M3, 63528
M, Declercq, Francis, M2, 63593
M, Ramon, Alexandre, M2, 63717
M, Grange, Patrice, M3, 63879
M, Granier, Paul, M6, 64023
M, Villette, Jonathan, M2, 64165
M, Letellier, Albert, M9, 64326
M, Maes, Jonathan, M6, 64394
M, Cadot, Michel, M4, 64461
M, Grondin, Maxime, M4, 64531
M, Wagner, Pierre, M1, 64705
M, Delalande, Nicolas, ELITE_2, 64834
M, Chapuis, Patrick, M7, 64943
M, Leleu, Julien, M8, 65027
M, Fourcade, Vincent, M2, 65088
M, Chambon, Bernard, ELITE_1, 65261
M, Gontier, Henri, M4, 65418
M, Dubus, Vincent, M2, 65542
M, Leonard, Fabien, M6, 65684
M, Laurent, Paul, M3, 65756
M, Le, Xavier, M8, 65916
M, Lebel, Philippe, M5, 66038
M, Bisson, Jean-Michel, M2, 66185
M, Chauvel, Franck, ELITE_1, 66361
M, Cros, Emmanuel, M2, 66500
M, Chassagne, Thomas, M3, 66575
M, Lafarge, Denis, M3, 66732
M, Pellet, Mathieu, M5, 66848
M, Cordonnier, Jean, M7, 66993
M, Ferron, Christophe, M7, 67098
M, Humeau, Daniel, M1, 67174
M, Santoni, J?r?me, M8, 67248
M, Delorme, Jean-Paul, M6, 67405
M, Marque, Vincent, ELITE_1, 67469
M, Leca, Serge, M2, 67564
M, Chiron, Charles, M6, 67639
M, Theron, Emile, M8, 67710
M, Picot, Paul, M6, 67802
M, Brossard, Maxime, M2, 67892
M, Roulet, Serge, ELITE_1, 67987
M, Fleury, Denis, M7, 68059
M, Monin, Albert, M5, 68150
M, Nedelec, Christian, M5, 68245
M, Guerineau, Marc, M1, 68368
M, Cabot, Patrick, M1, 68497
M, Bricout, Herv?, M4, 68564
M, Menard, Alain, M3, 68656
M, Lang, Arnaud, M9, 68730
M, Delaunay, Ren?, ELITE_2, 68831
M, Pannetier, David, M9, 68922
M, Pineau, Gilles, M1, 69092
M, Dubost, Patrice, M4, 69270
M, Thiriet, Robert, M5, 69427
M, Henriot, Fabrice, ELITE_2, 69491
M, Reymond, Daniel, M3, 69656
M, Guillon, Roland, M1, 69782
M, Long, Anna, M7, 69868
M, Couturier, Julia, M7, 69958
M, Vignon, Justine, M9, 70058
M, Jacques, Lily, M9, 70123
M, Balland, Capucine, M3, 70265
M, Gazeau, Maeva, M9, 70362
M, Bobo, Cloe, M8, 70498
M, Ortega, Jeanne, M9, 70623
M, Mathey, Eloise, M3, 70778
M, Bayle, Lola, ELITE_2, 70886
M, Lecuyer, Anna, M4, 71021
M, Leclercq, Emma, M1, 71194
M, George, Anna, M5, 71363
M, Le, Julia, M4, 71539
M, Bernard, Loane, M8, 71610
M, Beraud, Faustine, ELITE_2, 71782
M, Neveu, Sara, M5, 71956
M, Grange, Ambre, ELITE_1, 72092
M, Grignon, Ambre, ELITE_2, 72212
M, Gillot, Cloe, M2, 72306
M, George, Celia, M9, 72474
M, Bertrand, Chloe, M1, 72641
M, Bordier, Lou, M9, 72756
M, Chatelain, Clemence, M9, 72935
M, Foret, Clarisse, M1, 73008
M, Flament, Noemie, M6, 73077
M, Escoffier, Julie, M1, 73148
M, Foulon, Melina, M7, 73298
M, Pinard, Margaux, ELITE_2, 73375
M, Gambier, Louna, M5, 73523
M, Chapelle, Chloe, M3, 73640
M, Segura, Coline, M7, 73739
M, Sene, Elise, M4, 73841
M, Gillet, Claire, M9, 73997
M, Piriou, Lise, M7, 74150
M, Barthe, Juliette, M7, 74243
M, Clavel, Elsa, ELITE_1, 74323
M, Poncet, Lena, M3, 74454
M, Ortiz, Nina, M1, 74578
M, Durant, Justine, ELITE_1, 74650
M, Mouret, Juliette, M6, 74743
M, Bonnot, Marine, M2, 74859
M, Mathis, Fanny, M3, 75031
M, Papon, Manon, M7, 75122
M, Godet, Louane, M3, 75297
M, Pajot, Emma, M9, 75469
M, Polo, Fanny, M1, 75617
M, Graff, Lana, M9, 75795
M, Salle, Margot, M5, 75883
M, Chabanne, Eloise, ELITE_2, 75958
M, Marechal, Melissa, M9, 76030
M, Vallee, Laura, M8, 76165
M, Jegou, Meline, M3, 76301
M, Chabaud, Margaux, ELITE_1, 76437
M, Gutierrez, Lilou, M3, 76551
M, Chabaud, Louane, M1, 76709
M, Blouin, Clemence, M8, 76850
M, Beaulieu, Lea, M5, 76973
M, Blin, Gabrielle, ELITE_2, 77108
M, Nguyen, Claire, M8, 77197
M, Roch, Louane, M1, 77283
M, Adam, Luna, M1, 77377
M, Brochard, Eloise, M8, 77488
M, Baudin, Gabrielle, M3, 77624
M, Seite, Adele, M8, 77794
M, Provost, Elise, M6, 77947
M, Potin, Eloise, M3, 78105
M, Neuville, Noemie, M6, 78284
M, Pasquier, Clarisse, M8, 78366
M, Vautrin, Salome, M2, 78461
M, Chatelet, Laura, ELITE_1, 78534
M, Lacoste, Eloise, M3, 78618
M, La, Marine, M3, 78684
M, Calvet, Lana, M4, 78812
M, Bernet, Sofia, M3, 78964
M, Lo, Elena, M2, 79025
M, Gibert, Laurine, M9, 79122
M, Ribot, Nina, M6, 79234
M, Chauvet, Lina, ELITE_1, 79361
M, Blais, Andrea, M5, 79477
M, Laurent, Marine, M5, 79560
M, Marti, Yasmine, M4, 79712
M, Tissier, Luna, M8, 79821
M, Marin, Chloe, ELITE_2, 80000
M, Garin, Amelie, M1, 80173
M, Philippe, Cloe, M6, 80240
M, Vannier, Noemie, M6, 80371
M, Pascal, Lana, M2, 80547
M, Dietrich, Agathe, M6, 80718
M, Bachelier, Ines, M6, 80793
M, Delmas, Eva, ELITE_1, 80880
M, Poulain, Margaux, M5, 80985
M, Betton, Amandine, M5, 81126
M, Bauduin, Ines, M2, 81298
M, Gonthier, Lilou, M2, 81367
M, Ferrier, Melina, M3, 81484
M, Cartier, Clara, M3, 81550
M, Luc, Loane, M7, 81621
M, Adam, Capucine, M8, 81766
M, Carle, Marion, ELITE_1, 81932
M, Berthier, Eva, M2, 82057
M, Dauphin, Lena, ELITE_2, 82214
M, Fayard, Lina, M5, 82349
M, Guiot, Clementine, M8, 82473
M, Rougier, Nina, M2, 82650
M, Gillot, Louna, M1, 82711
M, De, Noemie, ELITE_1, 82876
M, Ducos, Romane, M7, 83031
M, Brion, Leane, M3, 83124
M, Bizet, Sarah, M7, 83250
M, Kremer, Lea, M5, 83339
M, Meyer, Rose, M3, 83474
M, Roux, Clemence, M7, 83546
M, Segura, Emilie, M7, 83640
M, Diot, Lilou, M6, 83771
M, Roussel, Claire, ELITE_1, 83895
M, Cornet, Yasmine, M2, 83958
M, Neuville, Morgane, ELITE_1, 84085
M, Vautrin, Meline, M9, 84243
M, Camus, Capucine, M8, 84403
M, Nguyen, Emilie, M2, 84562
M, Cordier, Lena, M3, 84632
M, Lafargue, Lucie, M5, 84729
M, Clair, Coline, ELITE_2, 84798
M, Guinot, Lilou, M6, 84952
M, Dubos, Nina, M6, 85055
M, Herbin, Lilou, M1, 85141
M, Huchet, Clemence, M9, 85297
M, Souchon, Eloise, M1, 85434
M, Gauthier, Candice, M4, 85498
M, Foret, Romane, M2, 85588
M, Guilloux, Lola, M7, 85698
M, Doublet, Flavie, M8, 85799
M, Mignot, Melissa, M2, 85870
M, Poirot, Alicia, ELITE_2, 86011
M, Chretien, Sara, M4, 86127
M, Lepretre, Lina, ELITE_2, 86299
M, Malet, Zoe, M2, 28
M, Joubert, Lina, M9, 148
M, Prudhomme, Lily, M7, 289
M, Mangin, Fanny, M2, 360
M, Escoffier, Marie, M4, 533
M, Langlois, Morgane, M5, 710
M, Prunier, Charlotte, M3, 857
M, Berne, Clementine, M1, 919
M, Monteiro, Charlotte, ELITE_2, 1044
M, Borel, Emilie, M8, 1191
M, Gil, Heloise, M1, 1332
M, Huynh, Louane, ELITE_1, 1495
M, Lamotte, Jeanne, M5, 1668
M, Papon, Margaux, M4, 1813
M, Geoffroy, Charlotte, ELITE_2, 1875
M, Coudray, Melina, M7, 2025
M, Santos, Margot, M6, 2124
M, Gil, Margot, M9, 2292
M, Blanchard, Leane, ELITE_1, 2431
M, Pires, Lilou, ELITE_1, 2526
M, Colas, Cassandra, M7, 2599
M, Weiss, Louise, ELITE_2, 2684
M, Ferrari, Elise, M3, 2828
M, Lafargue, Louane, M1, 2940
M, Bouillet, Lily, M5, 3007
M, Lagadec, Morgane, M2, 3108
M, Grignon, Cassandra, M2, 3228
M, Bouet, Lily, ELITE_1, 3361
M, Feret, Olivia, M7, 3495
M, Boisseau, Celia, M3, 3634
M, Guillotin, Anna, M4, 3697
M, Roze, Emilie, M3, 3798
M, Renaudin, Cassandra, M5, 3861
M, Dumortier, Eloise, M3, 3951
M, Lagrange, Louane, ELITE_1, 4077
M, Danel, Ninon, M9, 4252
M, Bachelier, Salome, ELITE_2, 4377
M, Dion, Yasmine, M9, 4541
M, Barth, Marion, M5, 4634
M, Poncet, Adele, M8, 4744
M, Descamps, Alicia, M8, 4915
M, Portal, Sarah, M7, 5057
M, Marchal, Sara, M9, 5181
M, Gallet, Juliette, M1, 5316
M, Berthelot, Angelina, M8, 5463
M, Bonnard, Emma, M2, 5602
M, Serra, Andrea, M8, 5762
M, Perrot, Nina, ELITE_1, 5941
M, Gaucher, Fanny, M2, 6054
M, Leloup, Chloe, M7, 6209
M, Clouet, Lana, M1, 6363
M, Delanoe, Clementine, M2, 6500
M, Chevallier, Maelys, ELITE_2, 6576
M, Guillaume, Ambre, ELITE_2, 6675
M, Gross, Rose, M2, 6785
M, Barra, Morgane, ELITE_1, 6859
M, Guy, Rose, M6, 6988
M, Mallard, Alice, M8, 7066
M, Roy, Marion, M1, 7195
M, Beaulieu, Gabrielle, M3, 7322
M, Simoes, Charlotte, M8, 7403
M, Pouvreau, Anna, M4, 7580
M, Guillaumin, Gabrielle, M7, 7652
M, Silvestre, Leonie, M9, 7783
M, Cathala, Elsa, M1, 7961
M, Nivet, Juliette, ELITE_2, 8136
M, Blot, Sarah, M8, 8252
M, Lemaitre, Maelle, M5, 8314
M, Henon, Lise, M9, 8429
M, Pradel, Nina, M8, 8524
M, Basset, Laura, M2, 8690
M, Blanco, Valentine, ELITE_1, 8772
